type,day_7_a%reads,day_7_b%reads,day_7_c%reads,day_14_a%reads,day_14_b%reads,day_14_c%reads,mock_a%reads,mock_b%reads,mock_c%reads,nira_a%reads,nira_b%reads,nira_c%reads
Frame-shift,89.5479054334301,89.53341740226986,90.74248120300751,65.40999057492931,77.59500850822462,59.75801030696841,30.798771121351766,37.086903304773564,22.38244514106583,3.821656050955414,6.665735047512577,5.594664690626158
In-frame,4.106180008295313,5.191256830601093,4.996867167919799,10.147659440779139,7.969370391378332,17.880349540667712,31.893241167434716,19.05344757241942,25.09090909090909,41.75513092710545,21.716042481833426,23.934790663208595
Other,1.6590626296142676,1.1559478772593528,1.613408521303258,3.1102733270499527,4.736245036868974,7.304503697064755,5.510752688172043,6.140350877192982,21.79310344827586,5.077848549186129,6.791503633314702,24.786958132641725
Reversion,2.9863127333056823,3.656998738965952,1.7230576441102756,2.324850769714106,0.8508224617129893,1.747703338561506,0.07680491551459294,0.6527947776417788,0.32601880877742945,0.0,0.0,0.07410151908114117
Wild-type,1.7005391953546245,0.4623791509037411,0.9241854636591478,19.00722588752749,8.84855360181509,13.30943311673762,31.72043010752688,37.066503467972254,30.407523510971785,49.34536447275301,64.8267188373393,45.60948499444238
