type,day_14_a_log2fc,day_14_b_log2fc,day_14_c_log2fc,mock_a_log2fc,mock_b_log2fc,mock_c_log2fc,nira_a_log2fc,nira_b_log2fc,nira_c_log2fc,day_14_log2fc,mock_log2fc,1um_nira_log2fc
Frame-shift,-0.4531486807564829,-0.20646240312234962,-0.6026459951503895,-1.5397868991306942,-1.2715164433607984,-2.0194104580725925,-4.55038984059045,-3.7475903747344628,-4.019654535591234,-0.42075235967640734,-1.610237933521362,-4.1058782503053814
In-frame,1.3052782285809204,0.6183818857412013,1.8392791674279674,2.957381940319657,1.8758962956832792,2.3280689708236237,3.346084709438181,2.064605441196259,2.2600134156845497,1.2543130939166964,2.3871157356088535,2.5569011887729967
Other,0.9066730191588527,2.0346673760543457,2.1786744720183497,1.7318810342252164,2.4092447507933374,3.755687972313934,1.6138490170569124,2.5546546744543477,3.9413975482137373,1.706671622410516,2.6322712524441627,2.703300413241666
Reversion,-0.3612271418467575,-2.103730103135257,0.020489350308079735,-5.281022799005422,-2.4859587082904335,-2.401943862700816,-inf,-inf,-4.539324038769165,-0.8148226315579782,-3.3896417899988904,-inf
Wild-type,3.4824838215104785,4.258293397329904,3.8481229164094155,4.221348169238253,6.324895873155113,5.040102115282763,4.858850399678816,7.131368396585765,5.625007671878111,3.8629667117499324,5.195448719225376,5.871742156047564
