type,day_7_a%reads,day_7_b%reads,day_7_c%reads,day_14_a%reads,day_14_b%reads,day_14_c%reads,mock_a%reads,mock_b%reads,mock_c%reads,nira_a%reads,nira_b%reads,nira_c%reads
Frame-shift,46.892210857592445,52.12735981966751,48.266395526182,18.43721416437998,19.28920937419521,21.03321033210332,6.789063531898032,6.091301998919503,9.465020576131687,4.266873545384018,4.6283934134401425,9.895972259269138
Reversion,1.951219512195122,2.3386869540715693,2.9893238434163703,2.156017248137985,4.455318053051764,4.674046740467404,3.1435741645753534,3.2144786601836843,4.083570750237417,3.064391000775795,4.183355585224744,3.9477193918378237
Wild-type,7.364280094413848,5.165774396543627,5.7752923233350275,11.015288122304979,9.515838269379346,8.856088560885608,14.383833047153612,12.27714748784441,11.839189616967394,10.822342901474011,9.457053849577214,10.376100293411577
in-frame,23.430369787568843,20.40950502488964,19.796644636502286,38.37710701685613,32.01133144475921,30.42742927429274,37.947430986659626,37.89843327930848,35.67584678695789,39.91466252909232,39.18558077436582,34.14243798346226
other,20.36191974822974,19.95867380482765,23.172343670564313,30.014373448320917,34.72830285861448,35.00922509225092,37.73609826971338,40.51863857374392,38.9363722697056,41.93173002327385,42.54561637739207,41.63777007201921
