type,day_14_a_log2fc,day_14_b_log2fc,day_14_c_log2fc,mock_a_log2fc,mock_b_log2fc,mock_c_log2fc,nira_a_log2fc,nira_b_log2fc,nira_c_log2fc,day_14_log2fc,mock_log2fc,1um_nira_log2fc
Frame-shift,-1.346727617183567,-1.4342467797924563,-1.1983500244526695,-2.7880638091362844,-3.097218252957923,-2.3503415448123075,-3.458097040294194,-3.493457387381545,-2.2861057309308266,-1.3264414738095642,-2.7452078689688384,-3.0792200528688554
Reversion,0.14399262942763355,0.929829663442267,0.6448529636980858,0.6880297099404296,0.4588860111513892,0.4500120260059093,0.6512242993208979,0.8389618702117501,0.4012002476703874,0.5728917521893288,0.532309249032576,0.6304621390676785
Wild-type,0.5808908269273705,0.8813461136077523,0.616775677028495,0.9658317761528632,1.248918855693612,1.0356044558019741,0.5553964537764532,0.8724061732152357,0.8452984523593122,0.6930042058545393,1.0834516958828164,0.7577003597836671
in-frame,0.711866237311444,0.6493414897448254,0.6201165234180822,0.6956224959697851,0.8928970143501428,0.8496917468709458,0.7685390898425388,0.941081685252119,0.78631015304487,0.660441416824784,0.8127370857302912,0.8319769760465093
other,0.5597799649541088,0.7990960481968005,0.59533116196219,0.8900716759632253,1.0215698393823434,0.7487145063803244,1.0421687672728128,1.0919946326705157,0.8454888395904139,0.6514023917043664,0.8867853405752978,0.993217413177914
