type,day_7_b%reads,day_7_c%reads,day_14_b%reads,day_14_c%reads,mock_b%reads,mock_c%reads,nira_b%reads,nira_c%reads
Frameshift,78.15002107037506,76.49365628604382,29.480189022173754,30.295801526717554,5.136084284460052,13.54908306364617,2.490272373540856,2.796052631578947
In-frame,12.115465655288665,14.463667820069205,19.01126862958924,36.68893129770992,60.09657594381036,53.87270765911543,34.65629053177692,57.92763157894737
Other,3.076274757690687,2.952710495963091,41.69392948018902,7.251908396946565,9.679543459174715,6.062567421790724,6.744487678339818,5.756578947368421
Reversion,3.223767383059418,3.6678200692041525,3.380588876772083,9.208015267175572,5.136084284460052,5.738942826321467,0.7003891050583657,1.2828947368421053
Wild-type,3.434471133586178,2.422145328719723,6.434023991275899,16.55534351145038,19.951712028094818,20.776699029126213,55.40856031128405,32.23684210526316
