type,day_14_b_log2fc,day_14_c_log2fc,mock_b_log2fc,mock_c_log2fc,nira_b_log2fc,nira_c_log2fc,day_14_log2fc,mock_log2fc,1um_nira_log2fc
Frameshift,-1.4065004874079994,-1.336222233264475,-3.927505479433769,-2.497144888007819,-4.9718708113903025,-4.773876685579799,-1.3713613603362371,-3.212325183720794,-4.87287374848505
In-frame,0.650004951292941,1.3429114317315345,2.310432938911998,1.8971211277224775,1.5162673870338663,2.001818230807419,0.9964581915122377,2.103777033317238,1.7590428089206427
Other,3.760581078013545,1.2963207900153324,1.6537546401633396,1.0378889748172304,1.1325244945399888,0.9631717816105783,2.5284509340144385,1.345821807490285,1.0478481380752835
Reversion,0.06852692929311725,1.327967358555472,0.6719212303765889,0.6458621348131384,-2.2025191001376316,-1.5155200666438575,0.6982471439242947,0.6588916825948636,-1.8590195833907446
Wild-type,0.9056333567296572,2.7729396114838853,2.538352683448865,3.100609124773641,4.0119490178480275,3.7343530911146976,1.8392864841067713,2.819480904111253,3.8731510544813625
