type,day_7_a%reads,day_7_b%reads,day_7_c%reads,mock_a%reads,mock_b%reads,mock_c%reads,1_nira_a%reads,1_nira_b%reads,1_nira_c%reads
Compound frameshift,40.27476500361533,40.829875518672196,37.38317757009346,41.48471615720524,40.33755274261603,37.00173310225303,17.417677642980934,17.105263157894736,13.599182004089982
I80Yfs,59.219088937093275,58.50622406639004,62.02209005947324,55.02183406113537,56.70886075949367,57.885615251299825,15.337954939341422,14.144736842105262,11.656441717791411
Reversion,0.5061460592913956,0.6639004149377593,0.594732370433305,3.493449781659389,2.9535864978902953,5.11265164644714,67.24436741767764,68.75,74.74437627811862
