type,mock_a_log2FC,mock_b_log2FC,mock_c_log2FC,1_nira_a_log2FC,1_nira_b_log2FC,1_nira_c_log2FC,mock_mean_log2FC,Mock_log2FC,1_nira_mean_log2FC,1uM Nira_log2FC
Compound frameshift,0.04270374404446636,-0.01750161002678868,-0.014796357511207801,-1.2093238936560915,-1.2551848695244092,-1.4588693279372593,0.003468592168823294,0.003468592168823294,-1.3077926970392533,-1.3077926970392533
I80Yfs,-0.10605806508754183,-0.045015937175693084,-0.09957726490036588,-1.9489561590529993,-2.0483247749103195,-2.4116546895164275,-0.08355042238786693,-0.08355042238786693,-2.136311874493249,-2.136311874493249
Reversion,2.787026730995946,2.153429104276669,3.1037592236971987,7.053715852634535,6.694249049754621,6.973580623981044,2.681405019656605,2.681405019656605,6.9071818421234,6.9071818421234
